t,F0,F1,F2,F3,F4,A0,A1,A2,A3,A4
5.7,0.9765908679435658,0.9765908679435658,0.9765908679435658,0.9765908679435658,0.9765908679435658,0.8071750517346207,0.5734825485189862,0.3294540644736252,0.0825638820733952,-0.16613783094233242
5.71,0.9965408445718644,0.9965408445718644,0.9965408445718644,0.9965408445718644,0.9965408445718644,0.8852375398216661,0.6082841398559572,0.3473760631406555,0.09109972070824851,-0.18350886582673923
5.72,0.9274727955035406,0.9274727955035406,0.9274727955035406,0.9274727955035406,0.9274727955035406,0.8516364263987155,0.5965273914429271,0.33946798733508754,0.08532978310729314,-0.16881318170982954
5.73,0.7755563638598543,0.7755563638598543,0.7755563638598543,0.7755563638598543,0.7755563638598543,0.7474580057458207,0.5277773587246478,0.3051684035405706,0.07642057176834852,-0.15781548203904183
5.74,0.5543617920342425,0.5543617920342425,0.5543617920342425,0.5543617920342425,0.5543617920342425,0.5942071712647284,0.4114508094422945,0.2322256713785098,0.05839889247732733,-0.11247792067758906
5.75,0.2836477323549146,0.2836477323549146,0.2836477323549146,0.2836477323549146,0.2836477323549146,0.3749735831511011,0.25917781849829075,0.1459109635905201,0.036708077499435145,-0.07018022271641464
5.76,-0.012403734481472419,-0.012403734481472419,-0.012403734481472419,-0.012403734481472419,-0.012403734481472419,0.11981364679499437,0.08405220807719353,0.04818618179780318,0.012039144782771119,-0.02428828497829559
5.7700000000000005,-0.3073472126581209,-0.3073472126581209,-0.3073472126581209,-0.3073472126581209,-0.3073472126581209,-0.14240631048167962,-0.0989289634419483,-0.05604371519685248,-0.014065659854939324,0.027403549710051465
5.78,-0.5748362796851744,-0.5748362796851744,-0.5748362796851744,-0.5748362796851744,-0.5748362796851744,-0.3917939079715566,-0.272949769017861,-0.15516374789485513,-0.03889055252801064,0.07655344555439071
5.79,-0.7909769338548037,-0.7909769338548037,-0.7909769338548037,-0.7909769338548037,-0.7909769338548037,-0.604945601824762,-0.4223235436072596,-0.24068673264399132,-0.06026766652145879,0.11952067209313849
5.8,-0.9364619742512132,-0.9364619742512132,-0.9364619742512132,-0.9364619742512132,-0.9364619742512132,-0.7640204742495748,-0.5342000880192845,-0.3050167437842715,-0.07632127893294088,0.15218800626716628
5.8100000000000005,-0.9982956555067656,-0.9982956555067656,-0.9982956555067656,-0.9982956555067656,-0.9982956555067656,-0.8568427487760416,-0.5995888853503927,-0.3426887971500992,-0.08571525206639416,0.17140980337182252
