Time (s),A0 (g),Force(N)
0.642,-0.010000000000000009,1.08
0.6425,0.0,0.58
0.643,-0.010000000000000009,0.01
0.6435,-0.010000000000000009,0.37
0.644,0.0,0.33
0.6445,-0.010000000000000009,0.41
0.645,0.0,0.35
0.6455,-0.010000000000000009,0.34
0.646,-0.010000000000000009,0.67
0.6465,-0.010000000000000009,-0.38
0.647,-0.010000000000000009,0.75
0.6475,-0.010000000000000009,0.38
0.648,-0.010000000000000009,0.17
0.6485,-0.010000000000000009,0.17
0.649,0.0,0.04
0.6495,-0.010000000000000009,-0.07
0.65,-0.010000000000000009,0.12
0.6505,-0.010000000000000009,-0.27
0.651,-0.010000000000000009,-0.17
0.6515,-0.010000000000000009,1.03
0.652,0.0,0.64
0.6525,-0.010000000000000009,0.42
0.653,-0.010000000000000009,0.27
0.6535,0.0,0.53
0.654,0.0,0.39
0.654501,-0.010000000000000009,-0.49
0.655,-0.020000000000000018,-0.18
0.6555,-0.010000000000000009,-0.19
0.656,0.0,-0.51
0.6565,0.0,0.29
0.657,-0.010000000000000009,0.8
0.6575,0.0,0.16
0.658,0.0,0.24
0.658501,0.010000000000000009,0.24
0.659,0.0,0.73
0.6595,-0.010000000000000009,0.27
0.66,-0.020000000000000018,0.46
0.6605,0.0,0.94
0.661,-0.010000000000000009,0.62
0.661501,-0.010000000000000009,-0.1
0.662,-0.010000000000000009,0.38
0.6625,-0.010000000000000009,-0.34
0.663,0.0,-0.2
0.6635,-0.010000000000000009,0.78
0.664,-0.010000000000000009,-0.02
0.6645,-0.010000000000000009,-0.01
0.665,0.0,0.04
0.665501,0.0,0.36
0.666,0.0,0.01
0.6665,-0.010000000000000009,-0.25
0.667,0.0,0.15
0.6675,0.0,0.23
0.668,-0.010000000000000009,-0.28
0.6685,-0.010000000000000009,0.15
0.669,0.0,0.39
0.6695,-0.010000000000000009,0.67
0.67,-0.030000000000000027,0.8
0.6705,-0.010000000000000009,-0.17
0.671,-0.010000000000000009,0.62
0.6715,-0.010000000000000009,0.15
0.672,-0.020000000000000018,0.32
0.6725,-0.020000000000000018,0.12
0.673,-0.010000000000000009,0.06
0.6735,0.0,-0.0
0.674,0.0,-0.0
0.6745,0.0,-0.07
0.675,0.0,0.65
0.6755,0.0,0.37
0.676,0.0,-0.18
0.6765,0.0,0.18
0.677,-0.010000000000000009,0.7
0.6775,0.0,0.07
0.678,0.0,0.88
0.6785,0.0,1.01
0.679,-0.010000000000000009,0.12
0.6795,0.0,-0.05
0.68,-0.010000000000000009,0.22
0.6805,-0.010000000000000009,0.47
0.681,0.0,0.42
0.6815,0.0,0.29
0.682,-0.010000000000000009,-0.15
0.6825,-0.010000000000000009,0.67
0.683,0.0,0.01
0.6835,-0.010000000000000009,0.53
0.684,-0.010000000000000009,-0.29
0.6845,-0.010000000000000009,0.05
0.685,-0.010000000000000009,0.49
0.685501,-0.010000000000000009,0.4
0.686,-0.010000000000000009,0.3
0.6865,-0.010000000000000009,0.08
0.687,0.0,0.43
0.6875,0.0,0.39
0.688,-0.010000000000000009,0.06
0.688501,-0.020000000000000018,0.7
0.689,-0.010000000000000009,0.35
0.689501,-0.020000000000000018,0.41
0.69,-0.010000000000000009,-0.13
0.690501,-0.010000000000000009,-0.2
0.691001,-0.010000000000000009,-0.01
0.6915,0.0,0.42
0.692,-0.010000000000000009,0.26
0.6925,0.0,0.41
0.693,-0.010000000000000009,0.09
0.6935,-0.010000000000000009,-0.31
0.694,-0.020000000000000018,0.48
0.6945,-0.010000000000000009,0.12
0.695,0.0,0.39
0.6955,0.020000000000000018,0.83
0.696,-0.010000000000000009,0.51
0.6965,-0.010000000000000009,-0.42
0.697,0.0,0.9
0.6975,0.0,0.93
0.698,-0.020000000000000018,0.19
0.6985,0.0,0.45
0.699,-0.010000000000000009,0.53
0.6995,-0.010000000000000009,0.31
0.7,-0.020000000000000018,-0.03
0.7005,-0.020000000000000018,0.42
0.701,-0.010000000000000009,0.62
0.7015,-0.010000000000000009,-0.71
0.702,0.010000000000000009,0.18
0.7025,-0.010000000000000009,0.39
0.703,-0.010000000000000009,0.04
0.7035,-0.010000000000000009,-0.02
0.704,0.0,0.02
0.704501,0.0,0.58
0.705,-0.010000000000000009,-0.33
0.7055,-0.010000000000000009,0.07
0.706,-0.010000000000000009,0.43
0.7065,0.0,-0.12
0.707,0.0,0.18
0.7075,-0.010000000000000009,0.39
0.708,-0.010000000000000009,0.33
0.708501,-0.010000000000000009,0.01
0.709,-0.010000000000000009,-0.17
0.7095,0.0,0.09
0.71,-0.010000000000000009,-0.29
0.7105,-0.010000000000000009,-0.13
0.711,-0.010000000000000009,0.04
0.7115,0.0,0.17
0.712,0.0,0.62
0.7125,-0.010000000000000009,0.08
0.713,0.0,-0.08
0.713501,-0.010000000000000009,-0.22
0.714,-0.010000000000000009,0.08
0.7145,0.0,-0.11
0.715,-0.010000000000000009,-0.28
0.715501,0.0,0.67
0.716,0.0,-0.02
0.7165,0.0,0.59
0.717,-0.010000000000000009,1.12
0.7175,-0.010000000000000009,1.25
0.718,-0.010000000000000009,0.66
0.7185,0.0,0.23
0.719,-0.010000000000000009,0.26
