Time (s),A0 (g)
0.920056,-0.1
0.920988,0.22
0.921912,-0.1
0.922852,0.11
0.923776,-0.14
0.924712,0.15
0.925632,0.11
0.926548,0.08
0.927452,0.11
0.928364,-0.1
0.929292,0.15
0.930208,0.08
0.931128,0.04
0.93204,0.18
0.932968,-0.14
0.933904,0.11
0.934824,-0.1
0.93576,0.18
0.936676,0.08
0.937588,0.11
0.938516,0.08
0.939424,-0.14
0.940352,0.11
0.941276,-0.17
0.942208,0.18
0.943128,-0.17
0.94406,0.11
0.94498,0.11
0.945896,0.04
0.946812,0.08
0.947728,0.18
0.948648,-0.1
0.94958,0.18
0.950504,-0.14
0.951432,0.15
0.952352,0.01
0.953268,0.08
0.954172,0.11
0.955092,0.08
0.956,-0.14
0.956944,0.15
0.957864,-0.14
0.9588,0.18
0.95972,-0.17
0.960652,0.15
0.961576,0.11
0.962496,0.18
0.963404,0.08
0.964308,-0.17
0.965232,0.11
0.96616,-0.14
0.967096,0.18
0.968016,-0.14
0.968952,0.15
0.969872,-0.1
0.970804,0.15
0.971728,0.04
0.972636,0.08
0.973548,0.11
0.97446,-0.07
0.975392,0.08
0.976308,0.11
0.977228,-0.07
0.97816,0.15
0.97908,0.11
0.98,0.04
0.980912,0.11
0.981836,-0.14
0.982768,0.18
0.983688,0.11
0.984616,-0.03
0.985544,0.18
0.98646,-0.21
0.987396,0.15
0.988316,0.01
0.989228,0.11
0.990152,0.22
0.991068,0.04
0.99198,0.18
0.9929,-0.17
0.993836,0.15
0.99476,0.04
0.995676,0.11
0.9966,0.18
0.99752,-0.14
0.998448,0.15
0.999372,0.01
1.00028,0.08
1.00118,0.15
1.002096,0.11
1.003024,0.11
1.003944,0.18
1.004872,-0.14
1.005808,0.15
1.006728,0.01
1.007644,-0.1
1.00858,0.11
1.0095,0.01
1.010408,0.08
1.011308,0.18
1.012228,-0.17
1.013168,0.11
1.014088,-0.07
1.015024,0.08
1.015936,0.11
1.016856,-0.14
1.017792,0.11
1.018708,-0.14
1.01964,0.08
1.020556,-0.03
1.021484,0.18
1.022404,-0.17
1.023336,0.08
1.024244,0.11
1.025164,-0.03
1.026096,0.15
1.027016,-0.03
1.027936,0.18
1.02886,0.08
1.029772,0.11
1.030696,0.18
1.031616,-0.14
1.032552,0.18
1.033472,-0.14
1.034412,0.15
1.035332,0.08
1.036244,0.04
1.037152,0.15
1.038068,-0.14
1.039004,0.15
1.039924,-0.07
1.040856,0.15
1.041776,0.01
1.042688,0.08
1.0436,0.11
1.04452,-0.21
1.045448,0.15
1.046356,0.08
1.04726,0.04
1.048168,0.11
1.049088,0.08
1.05,0.08
1.050912,0.15
1.051832,0.08
1.052744,-0.03
1.053672,0.18
1.054592,-0.07
1.055512,0.11
1.056428,0.18
1.05734,0.01
1.058252,0.08
1.059164,0.22
1.060092,0.04
1.061012,0.11
1.061936,-0.14
1.062872,0.11
1.063788,-0.1
1.064728,0.22
1.065644,-0.1
1.066576,0.11
1.067496,-0.17
1.068424,0.11
1.06934,-0.07
1.070264,0.15
1.071188,-0.07
1.07212,0.15
1.07304,0.11
1.073952,-0.03
1.07488,0.11
1.075792,-0.07
1.076728,0.15
1.077648,0.11
1.078568,-0.07
1.079496,0.18
1.080412,-0.1
1.08134,0.15
1.082256,0.08
1.083164,-0.17
1.084096,0.11
1.085012,-0.14
1.085952,0.15
1.086872,-0.14
1.087808,0.15
1.088728,0.08
1.08964,-0.17
1.090572,0.15
1.091496,0.08
1.092396,-0.07
1.093316,0.22
1.094232,-0.03
1.09516,0.11
1.09608,0.11
1.097,0.08
1.097912,0.11
1.098832,0.08
1.099744,0.11
1.100664,-0.1
1.1016,0.18
1.102516,0.04
1.103424,0.11
1.10434,-0.17
1.105272,0.15
1.106184,0.11
1.107112,0.08
1.108024,0.11
1.108944,-0.03
1.109864,0.15
1.110784,-0.1
1.111716,0.15
1.112636,0.04
1.113552,0.08
1.114472,0.22
1.115388,-0.17
1.11632,0.15
1.117232,0.08
1.118152,0.01
1.11906,0.15
1.119976,0.01
1.120892,0.04
1.121808,0.11
1.122736,-0.14
1.12368,0.15
1.1246,0.01
1.125512,0.08
1.126428,0.15
1.127348,0.01
1.128264,0.08
1.129164,0.11
1.130084,-0.03
1.131016,0.08
1.131928,0.18
1.132848,-0.17
1.13378,0.11
1.134704,-0.1
1.135644,0.15
1.136568,0.08
1.137472,-0.03
1.138396,0.11
1.139308,-0.17
1.14024,0.15
1.14116,0.08
1.142072,-0.17
1.143008,0.11
1.143928,-0.03
1.144856,0.11
1.145776,0.11
1.146692,0.04
1.147604,0.11
1.148524,-0.1
1.149456,0.22
1.150372,-0.14
1.151304,0.22
1.152228,-0.17
1.153168,0.11
1.154088,-0.17
1.15502,0.18
1.15594,-0.14
1.156872,0.15
1.157784,0.04
1.1587,0.04
1.159616,0.15
1.160544,0.01
1.161452,0.11
1.162372,0.18
1.163292,-0.17
1.164224,0.15
1.16514,-0.07
1.166064,0.15
1.166976,0.18
1.167904,-0.1
1.168836,0.18
1.16976,-0.17
1.170692,0.15
1.171616,0.11
1.172536,-0.14
1.173472,0.15
1.17438,0.11
1.1753,-0.07
1.17622,0.11
1.17714,-0.1
1.178076,0.15
1.179,0.08
1.179912,-0.03
1.18084,0.11
1.18176,-0.1
1.1827,0.15
1.183624,0.11
1.18454,0.04
1.185444,0.15
1.186356,0.22
1.187276,-0.1
1.188208,0.15
1.189128,0.08
1.19004,0.04
1.190952,0.15
1.19188,-0.14
1.192808,0.18
1.193728,0.11
1.194652,-0.17
1.195584,0.15
1.196504,0.22
1.19742,-0.14
1.198352,0.11
1.199276,-0.17
1.200208,0.18
1.201128,0.18
1.202048,-0.14
1.202976,0.15
1.203888,0.08
1.204804,-0.21
1.205744,0.18
1.206664,-0.17
1.207596,0.15
1.20852,0.11
1.209436,-0.03
1.21036,0.11
1.211276,-0.14
1.212204,0.11
1.213124,-0.14
1.214056,0.15
1.214976,-0.1
1.215908,0.15
