Time (s),A0 (g),Force(N)
3.856501,-0.020000000000000018,0.08
3.857,0.010000000000000009,0.14
3.8575,-0.010000000000000009,0.17
3.858,0.0,0.1
3.858501,-0.010000000000000009,0.26
3.859,0.0,0.13
3.859501,0.0,0.19
3.86,-0.020000000000000018,0.29
3.860501,-0.020000000000000018,0.2
3.861,-0.020000000000000018,0.08
3.8615,-0.010000000000000009,0.13
3.862,-0.010000000000000009,0.16
3.8625,-0.010000000000000009,0.18
3.863,0.0,0.17
3.863501,-0.010000000000000009,0.18
3.864,0.0,0.18
3.864501,-0.030000000000000027,0.01
3.865,-0.010000000000000009,0.26
3.8655,-0.010000000000000009,0.16
3.866,-0.010000000000000009,0.08
3.8665,-0.010000000000000009,0.02
3.867,-0.010000000000000009,0.17
3.867501,-0.010000000000000009,0.01
3.868,-0.010000000000000009,0.32
3.8685,0.0,0.13
3.869,-0.020000000000000018,0.1
3.869501,-0.010000000000000009,0.13
3.87,-0.010000000000000009,0.11
3.8705,-0.010000000000000009,0.19
3.871,-0.030000000000000027,0.23
3.8715,0.0,0.12
3.872,0.010000000000000009,0.1
3.8725,-0.010000000000000009,0.06
3.873,-0.020000000000000018,0.17
3.8735,-0.010000000000000009,0.1
3.874,-0.020000000000000018,0.11
3.8745,-0.010000000000000009,0.11
3.875,-0.020000000000000018,0.17
3.8755,-0.020000000000000018,0.02
3.876,-0.020000000000000018,0.2
3.8765,-0.020000000000000018,0.1
3.877,0.0,0.21
3.8775,-0.010000000000000009,0.09
3.878,-0.020000000000000018,0.06
3.8785,-0.020000000000000018,0.11
3.879,-0.020000000000000018,0.14
3.8795,-0.020000000000000018,0.18
3.88,-0.020000000000000018,0.11
3.880501,0.0,0.33
3.881,-0.020000000000000018,0.12
3.8815,-0.010000000000000009,0.03
3.882,-0.020000000000000018,0.02
3.8825,-0.010000000000000009,0.15
3.883,-0.010000000000000009,-0.05
3.883501,-0.020000000000000018,0.25
3.884,-0.010000000000000009,0.11
3.884501,-0.020000000000000018,0.12
3.885,-0.010000000000000009,0.18
3.885501,-0.020000000000000018,0.24
3.886,-0.010000000000000009,0.15
3.8865,-0.020000000000000018,0.17
3.887,-0.020000000000000018,0.12
3.8875,-0.030000000000000027,0.1
3.888,-0.030000000000000027,0.19
3.8885,-0.020000000000000018,0.2
3.889,-0.020000000000000018,0.19
3.8895,-0.020000000000000018,0.14
3.89,-0.020000000000000018,0.14
3.8905,-0.010000000000000009,0.15
3.891,-0.020000000000000018,0.25
3.8915,-0.030000000000000027,-0.02
3.892,0.0,0.18
3.8925,-0.020000000000000018,0.15
3.893,-0.020000000000000018,0.08
3.8935,-0.030000000000000027,0.04
3.894,-0.020000000000000018,0.12
3.8945,-0.020000000000000018,-0.05
3.895,-0.020000000000000018,0.16
3.8955,-0.020000000000000018,0.06
3.896,-0.030000000000000027,0.1
3.8965,-0.030000000000000027,0.06
3.897,-0.020000000000000018,0.18
3.8975,-0.020000000000000018,0.04
3.898,-0.020000000000000018,0.31
3.8985,-0.020000000000000018,0.13
3.899,-0.020000000000000018,0.13
3.899501,-0.030000000000000027,0.18
3.9,-0.030000000000000027,0.36
3.900501,-0.020000000000000018,-0.08
3.901,-0.020000000000000018,0.12
3.9015,-0.030000000000000027,0.18
3.902,-0.030000000000000027,0.17
3.9025,-0.020000000000000018,0.4
3.903,-0.020000000000000018,0.05
3.9035,-0.020000000000000018,0.17
3.904,-0.020000000000000018,0.13
3.904501,-0.010000000000000009,0.1
3.905,-0.030000000000000027,0.13
3.9055,-0.030000000000000027,0.2
3.906,-0.020000000000000018,0.11
3.9065,-0.020000000000000018,-0.03
3.907,-0.020000000000000018,0.01
3.9075,-0.030000000000000027,0.11
3.908,-0.020000000000000018,0.19
3.9085,-0.030000000000000027,0.08
3.909,-0.030000000000000027,0.14
3.9095,-0.030000000000000027,0.15
3.91,-0.030000000000000027,0.14
