Time (s),A0 (g),Force(N)
24.4345,0.020000000000000018,0.24
24.435,-0.10999999999999999,0.16
24.4355,0.1200000000000001,0.1
24.436,-0.12,0.11
24.4365,0.050000000000000044,0.21
24.437,0.0,0.15
24.4375,-0.09999999999999998,-0.01
24.438,0.10000000000000009,0.04
24.4385,-0.12,0.06
24.439,0.06000000000000005,0.03
24.4395,0.0,0.12
24.440001,-0.08999999999999997,0.06
24.4405,0.1100000000000001,0.08
24.441,-0.13,-0.02
24.4415,0.06000000000000005,0.08
24.442,-0.010000000000000009,0.11
24.4425,-0.09999999999999998,0.08
24.443,0.1100000000000001,0.12
24.4435,-0.13,0.13
24.444001,0.06000000000000005,0.17
24.444501,-0.020000000000000018,0.12
24.445,-0.08999999999999997,0.39
24.4455,0.1100000000000001,0.03
24.446001,-0.14,0.01
24.4465,0.06000000000000005,-0.02
24.447001,-0.020000000000000018,0.1
24.4475,-0.07999999999999996,0.1
24.448001,0.10000000000000009,0.18
24.4485,-0.13,0.12
24.449,0.07000000000000006,0.05
24.4495,-0.030000000000000027,0.07
24.45,-0.06999999999999995,-0.0
24.450501,0.10000000000000009,-0.08
24.451,-0.14,0.06
24.4515,0.07000000000000006,0.1
24.452,-0.030000000000000027,0.16
24.4525,-0.06999999999999995,-0.02
24.453,0.09000000000000008,-0.13
24.4535,-0.14,0.07
24.454,0.07000000000000006,0.09
24.4545,-0.040000000000000036,0.12
24.455,-0.05999999999999994,0.27
24.4555,0.1100000000000001,0.07
24.456,-0.13,0.16
24.4565,0.10000000000000009,0.01
24.457,-0.030000000000000027,-0.08
24.4575,-0.030000000000000027,0.13
24.458,0.1200000000000001,0.05
24.4585,-0.10999999999999999,-0.11
24.459,0.1100000000000001,0.09
24.4595,-0.030000000000000027,0.16
24.460001,-0.040000000000000036,0.1
24.4605,0.10000000000000009,0.17
24.461,-0.16000000000000003,0.12
24.4615,0.10000000000000009,-0.04
24.462,-0.05999999999999994,-0.07
24.4625,-0.05999999999999994,0.04
24.463,0.08000000000000007,0.11
24.4635,-0.16000000000000003,0.06
24.464,0.09000000000000008,0.16
24.4645,-0.07999999999999996,0.17
24.465,-0.04999999999999993,0.1
24.4655,0.08000000000000007,0.11
24.466,-0.16000000000000003,-0.17
24.4665,0.09000000000000008,0.14
24.467,-0.06999999999999995,0.11
24.4675,-0.04999999999999993,0.1
24.468,0.06000000000000005,0.18
24.4685,-0.16999999999999993,0.15
24.469,0.06000000000000005,0.16
24.4695,-0.10999999999999999,0.03
24.47,-0.08999999999999997,0.21
24.4705,0.030000000000000027,0.22
24.471,-0.18999999999999995,0.24
24.4715,0.06000000000000005,0.27
24.472,-0.12,0.21
24.4725,-0.06999999999999995,0.15
24.473001,0.050000000000000044,0.23
24.4735,-0.17999999999999994,0.06
24.474,0.10000000000000009,0.19
24.4745,-0.08999999999999997,0.18
24.475,-0.030000000000000027,0.31
24.4755,0.08000000000000007,0.15
24.476,-0.15000000000000002,0.21
24.4765,0.1200000000000001,-0.02
24.477,-0.06999999999999995,0.12
24.4775,-0.020000000000000018,0.04
24.478,0.07000000000000006,0.18
24.4785,-0.15000000000000002,0.16
24.479,0.1200000000000001,0.22
24.4795,-0.08999999999999997,0.18
24.48,-0.010000000000000009,0.36
24.4805,0.08000000000000007,0.11
24.481001,-0.15000000000000002,0.24
24.4815,0.13000000000000012,0.01
24.482,-0.06999999999999995,0.09
24.4825,0.020000000000000018,0.02
24.483,0.09000000000000008,0.04
24.4835,-0.10999999999999999,-0.01
24.484,0.15999999999999992,0.18
24.4845,-0.04999999999999993,-0.02
24.485,0.030000000000000027,0.22
24.4855,0.10000000000000009,0.13
24.486,-0.12,0.11
24.4865,0.1499999999999999,0.01
24.487,-0.05999999999999994,-0.0
24.4875,0.030000000000000027,0.01
24.488,0.09000000000000008,0.01
24.4885,-0.10999999999999999,0.05
24.489,0.1499999999999999,0.1
24.4895,-0.06999999999999995,0.24
24.49,0.020000000000000018,0.13
24.4905,0.10000000000000009,0.18
24.491,-0.12,0.29
24.4915,0.1499999999999999,0.03
24.492001,-0.07999999999999996,-0.04
24.4925,0.020000000000000018,0.23
24.493,0.09000000000000008,0.2
24.4935,-0.13,0.1
24.494,0.13000000000000012,0.01
