t,F0,A0,F1,A1,F2,A2,F3,A3,F4,A4
0.49854,-0.565372028,0.444274548,-0.565372028,-0.436036278,-0.629972829,0.583319987,-0.629972829,-1.499691081,0.693529308,-0.87631859
0.49902,-0.059422892,0.657452934,-0.059422892,-0.431973402,-0.272225533,-0.732392095,-0.272225533,0.531894702,-0.208167595,1.139661778
0.49951,0.346910721,0.058535786,0.346910721,0.264502053,-0.109909233,-0.466820846,-0.109909233,0.463336746,-0.316468939,0.678657517
0.5,0.143336766,0.136152563,0.143336766,0.160695569,-0.263268279,0.610716678,-0.263268279,-1.211430023,0.185680149,-0.722660761
0.50049,0.032321103,0.387770027,0.032321103,-0.154091145,0.332524828,-0.260123861,0.332524828,0.726186361,-0.492085404,0.503548898
0.50098,0.258152477,-0.045031215,0.258152477,0.319443218,0.225309212,-0.293232556,0.225309212,0.654630495,-0.631329989,0.553135001
0.50146,-0.270596941,0.205028989,-0.270596941,-0.0786263,-0.201653229,0.626695516,-0.201653229,-1.178785429,-0.015450918,-1.13948932
0.50195,-0.134880972,0.949694563,-0.134880972,-0.971043188,-0.121852238,-0.706558819,-0.121852238,0.56248939,-0.390298427,-0.386231119
0.50244,0.363468069,-0.705850974,0.363468069,0.619141888,0.284209943,-0.004136222,0.284209943,0.339708352,-0.475528056,0.120210655
0.50293,-0.127552309,-0.970462016,-0.127552309,0.736706748,0.035306855,0.552531793,0.035306855,-0.713118271,-0.062951508,-1.528545722
0.50342,-0.28443997,0.569981719,-0.28443997,-0.930500609,0.323567574,-0.127916823,0.323567574,0.569026927,0.199251746,-0.542437191
0.50391,0.183508694,-0.718099775,0.183508694,0.44097246,0.374596779,0.144936,0.374596779,0.379936981,-0.326783353,-0.068617852
0.50439,-0.205453276,-0.622300607,-0.205453276,0.40253519,-0.093623317,0.264100218,-0.093623317,-0.531975556,-0.198667477,-0.397224265
0.50488,-0.640015811,1.084086689,-0.640015811,-1.442749257,0.207666136,-0.033324069,0.207666136,0.209474706,-0.648701633,0.218139515
0.50537,0.316510344,-0.71510836,0.316510344,0.5350896,0.347725017,-0.037989693,0.347725017,0.453555064,-0.559129093,1.023556682
0.50586,0.205494681,-1.424652496,0.205494681,1.430953777,-0.09823766,0.104736541,-0.09823766,-0.378226476,0.063807208,-0.110860829
0.50635,-0.91144775,1.408710702,-0.91144775,-1.531787802,0.222052029,0.173754537,0.222052029,-0.015744059,0.266566867,0.064241635
0.50684,-0.297468703,0.748549547,-0.297468703,-0.773864424,0.621871276,0.066555981,0.621871276,0.768723443,0.013863731,0.754889379
0.50732,0.733972667,-1.034518938,0.733972667,1.276262848,0.095021881,0.042840086,0.095021881,-0.046597293,0.393325583,-0.143261679
0.50781,-0.332754855,0.460659628,-0.332754855,-0.464488722,-0.385412652,-0.178420047,-0.385412652,-0.552640822,0.181880102,-0.2766382
0.5083,-0.584372263,0.592318855,-0.584372263,-0.755396806,-0.067022987,-0.3419754,-0.067022987,0.210687413,-0.469827985,0.842545249
0.50879,0.545598901,-1.12797914,0.545598901,1.200791847,0.059735729,-0.052011186,0.059735729,0.208859118,0.164237026,0.061225598
0.50928,0.134108081,0.091927619,0.134108081,-0.085440851,-0.431284649,-0.180832876,-0.431284649,-0.323279155,0.146051086,-1.063300544
0.50977,-0.431827513,1.236267275,-0.431827513,-1.42393691,-0.376998262,-0.062438055,-0.376998262,-0.328487023,-0.234496493,0.683255434
0.51025,0.587942283,-0.876281659,0.587942283,0.841405834,0.292352901,0.440119803,0.292352901,0.223467005,0.023363849,-0.249832406
0.51074,0.602599608,-1.312800627,0.602599608,1.360093525,0.102350544,0.12003831,0.102350544,0.39209483,0.661771771,-1.198431291
0.51123,-0.431013218,0.79447332,-0.431013218,-0.882607918,-0.037165473,0.616668734,-0.037165473,-0.481996025,0.04724986,0.302908607
0.51172,0.312981729,0.473899413,0.312981729,-0.309717767,0.399568517,0.418121202,0.399568517,0.293588552,-0.163381325,0.348204551
0.51221,0.655257404,-0.64489626,0.655257404,1.013622533,-0.156595527,-0.65080523,-0.156595527,0.58244673,0.355053679,-0.553418026
0.5127,-0.020879557,1.135260827,-0.020879557,-0.83102786,-0.290954337,0.518401339,-0.290954337,-1.242363284,0.354239383,0.413615613
0.51318,-0.107737778,0.331450161,-0.107737778,-0.076551771,0.387082648,-0.189739417,0.387082648,0.50461803,0.262495388,0.662284747
0.51367,0.328724781,-0.926760262,0.328724781,1.327670542,0.491041081,-0.522272832,0.491041081,1.034521721,0.635442873,-0.039516177
0.51416,-0.365326688,1.126680511,-0.365326688,-0.843296514,0.044264109,0.594430081,0.044264109,-1.121665085,0.580613621,0.536152869
0.51465,-0.745331403,1.338812517,-0.745331403,-1.330607721,0.020920962,-0.730397818,0.020920962,0.39199018,0.380568282,0.797901753
0.51514,0.278781304,-0.477684733,0.278781304,0.450107776,0.144151062,-0.598270798,0.144151062,0.556345829,0.510041317,0.175416434
0.51562,0.156636931,-0.932767714,0.156636931,0.630561032,-0.257296776,0.339827356,-0.257296776,-1.015180796,0.316510344,0.563444922
0.51611,-0.150352592,-0.373206766,-0.150352592,-0.202987243,0.192737379,-0.119151852,0.192737379,0.460948268,0.132750921,0.680239397
0.5166,0.373239619,-1.048835879,0.373239619,0.583837957,0.022820985,-0.3735453,0.022820985,0.725127551,0.610199702,-0.108835776
0.51709,0.143065335,-0.666014671,0.143065335,0.267463028,-0.414998733,0.806912932,-0.414998733,-1.236065826,0.315153184,-0.357351031
0.51758,-0.210881915,0.844791888,-0.210881915,-1.191232604,0.031506807,0.117009964,0.031506807,0.35221093,-0.532800195,0.479789917
0.51807,0.050778475,-0.621857434,0.050778475,0.445749418,-0.011108007,-0.216791418,-0.011108007,0.824292507,-0.319726122,0.134903062
0.51855,0.259781069,-0.929893247,0.259781069,1.016885145,-0.645987314,0.733149295,-0.645987314,-1.330250681,0.202508929,-0.944788774
0.51904,0.100993384,0.815487093,0.100993384,-0.55908602,0.038564038,0.258142008,0.038564038,0.139513211,0.150122565,-0.359911584
0.51953,0.157994091,0.57784188,0.157994091,-0.067952016,0.684843486,-0.000670858,0.684843486,1.270433236,-0.365869552,-0.330532926
0.52002,0.285838535,0.643874614,0.285838535,0.023222617,-0.453270637,0.146413242,-0.453270637,-0.91961087,-0.255668185,-0.456418598
0.52051,0.144693926,1.224406249,0.144693926,-0.600712033,-0.253225297,0.022152537,-0.253225297,-0.682732883,-0.150895456,-0.208143395
0.521,0.221780597,-0.067540696,0.221780597,0.584361207,0.598799561,-0.73307532,0.598799561,1.3587577,-0.068380146,-0.02932936
0.52148,0.537998806,-0.168817972,0.537998806,0.688980266,0.110493502,-0.029126239,0.110493502,-0.329348845,0.067335823,-0.133628827
0.52197,0.031506807,0.651599361,0.031506807,-0.402320562,-0.450284885,-0.323035921,-0.450284885,-0.924307801,0.368353844,-0.005767344
0.52246,0.041006925,0.631644278,0.041006925,-0.47582784,0.46715507,-0.462321412,0.46715507,0.793119167,0.19708029,0.11914581
0.52295,-0.129180901,-0.390373553,-0.129180901,0.254911203,0.308095954,-0.168584075,0.308095954,0.361069231,0.048878452,0.603964449
0.52344,0.176451463,-0.156009049,0.176451463,-0.165239431,-0.140581042,0.439165751,-0.140581042,-0.850135689,-0.16962426,0.688001075
0.52393,0.452769177,-1.201041086,0.452769177,0.765682442,0.319224663,-0.008998812,0.319224663,0.575736829,-0.114795008,0.604733846
0.52441,0.473669437,-1.117576891,0.473669437,0.784636374,0.459283544,0.298483035,0.459283544,0.56424997,0.080093125,0.293552738
0.5249,-0.203824684,0.311950561,-0.203824684,-0.658053988,0.199523178,1.018552523,0.199523178,-0.610493715,-0.287968585,0.031391457
0.52539,0.030692512,0.314701925,0.030692512,-0.423496765,0.128679442,-0.027095031,0.128679442,0.5656966,-0.465213642,0.373606965
0.52588,0.078464533,-0.572406746,0.078464533,0.674403159,0.174822871,0.18693277,0.174822871,0.247019374,-0.224724944,-0.312399776
0.52637,-0.44675627,0.462536957,-0.44675627,-0.319382487,-0.31375462,0.157006301,-0.31375462,-0.608074457,-0.256211048,-0.888961322
0.52686,-0.17939581,0.760872211,-0.17939581,-0.499306339,0.073035894,-0.130963636,0.073035894,0.169313791,-0.379441149,-0.413892483
0.52734,0.230466419,-0.185246138,0.230466419,0.630647215,0.41531157,-0.004837912,0.41531157,0.446900566,-0.190253087,-0.967747583
0.52783,-0.385955516,0.915496402,-0.385955516,-0.627034545,0.140079583,0.111728822,0.140079583,-0.199952398,-0.245625203,-1.091848253
0.52832,-0.475528056,1.093996523,-0.475528056,-0.993844541,0.292895765,0.02975418,0.292895765,0.050308457,-0.443499087,-0.025987099
0.52881,0.111850661,-0.955954264,0.111850661,0.938674781,0.388168376,-0.307438704,0.388168376,0.538161381,-0.810475069,-0.290154968
0.5293,0.077378805,-0.438839414,0.077378805,0.276136653,-0.433456105,-0.586397462,-0.433456105,-0.321457016,-0.040694089,-0.041325799
0.52979,-0.725788304,0.259163767,-0.725788304,-0.788558493,-0.468742257,-0.173711337,-0.468742257,-0.776548385,-0.038522633,-0.296691765
